model,history_steps,local_grid,structured_output,max_steps,maze,has_loop,has_invalid,has_fallback,loop_rate,invalid_rate,fallback_rate
llama3.2:3b,20,1,0,80,,1,1,1,0.162500,0.075000,0.787500
llama3.2:3b,20,1,0,80,,1,1,1,0.162500,0.125000,0.775000
llama3.2:3b,20,1,0,80,,1,1,1,0.112500,0.162500,0.737500
llama3.2:3b,20,1,0,80,,1,1,1,0.137500,0.125000,0.725000
llama3.2:3b,20,1,0,80,,1,1,1,0.102564,0.128205,0.769231
llama3.2:3b,20,1,0,80,,1,1,1,0.112500,0.125000,0.775000
llama3.2:3b,20,1,0,80,,1,1,1,0.175000,0.100000,0.800000
llama3.2:3b,20,1,0,80,,1,1,1,0.175000,0.150000,0.725000
llama3.2:3b,10,1,0,80,,1,1,1,0.112500,0.062500,0.737500
llama3.2:3b,10,1,0,80,,1,1,1,0.087500,0.212500,0.737500
llama3.2:3b,10,1,0,80,,1,1,1,0.087500,0.075000,0.750000
llama3.2:3b,10,1,0,80,,1,1,1,0.137500,0.137500,0.712500
llama3.2:3b,10,1,0,80,,1,1,1,0.162500,0.112500,0.775000
llama3.2:3b,10,1,0,80,,1,1,1,0.187500,0.100000,0.737500
llama3.2:3b,10,1,0,80,,1,1,1,0.125000,0.075000,0.850000
llama3.2:3b,10,1,0,80,,1,1,1,0.112500,0.187500,0.700000
llama3.2:3b,10,1,0,80,,1,1,1,0.062500,0.125000,0.800000
llama3.2:3b,10,1,0,80,,1,1,1,0.125000,0.125000,0.762500
phi3:mini,0,1,0,60,,1,1,1,0.183333,0.183333,0.450000
phi3:mini,0,1,0,60,,1,1,1,0.133333,0.183333,0.450000
phi3:mini,0,1,0,60,,1,1,1,0.150000,0.166667,0.433333
phi3:mini,0,1,0,60,,1,1,1,0.166667,0.208333,0.395833
phi3:mini,0,1,0,60,,1,1,1,0.100000,0.266667,0.450000
phi3:mini,0,1,0,60,,1,1,1,0.166667,0.150000,0.550000
phi3:mini,0,1,0,60,,1,1,1,0.150000,0.383333,0.350000
phi3:mini,0,1,0,60,,1,1,1,0.100000,0.200000,0.533333
phi3:mini,0,1,0,60,,1,1,1,0.133333,0.183333,0.433333
phi3:mini,0,1,0,60,,1,1,1,0.116667,0.183333,0.466667
phi3:mini,5,1,0,60,,1,1,1,0.150000,0.183333,0.400000
phi3:mini,5,1,0,60,,1,1,1,0.055556,0.222222,0.444444
phi3:mini,5,1,0,60,,1,1,1,0.150000,0.266667,0.316667
phi3:mini,5,1,0,60,,1,1,1,0.216667,0.183333,0.483333
phi3:mini,5,1,0,60,,1,1,1,0.116667,0.150000,0.383333
phi3:mini,5,1,0,60,,1,1,1,0.153846,0.076923,0.423077
phi3:mini,5,1,0,60,,1,1,1,0.116667,0.083333,0.650000
phi3:mini,5,1,0,60,,1,1,1,0.133333,0.033333,0.550000
phi3:mini,5,1,0,60,,1,1,1,0.166667,0.216667,0.400000
phi3:mini,5,1,0,60,,1,1,1,0.133333,0.300000,0.316667
phi3:mini,10,1,0,60,,1,1,1,0.133333,0.300000,0.266667
phi3:mini,10,1,0,60,,1,1,1,0.200000,0.216667,0.350000
phi3:mini,10,1,0,60,,1,1,1,0.116667,0.250000,0.450000
phi3:mini,10,1,0,60,,1,1,1,0.150000,0.233333,0.433333
phi3:mini,10,1,0,60,,1,1,1,0.183333,0.250000,0.300000
phi3:mini,10,1,0,60,,1,1,1,0.200000,0.233333,0.416667
phi3:mini,10,1,0,60,,1,1,1,0.133333,0.250000,0.450000
phi3:mini,10,1,0,60,,1,1,1,0.166667,0.183333,0.333333
phi3:mini,10,1,0,60,,1,1,1,0.150000,0.283333,0.316667
phi3:mini,10,1,0,60,,1,1,1,0.166667,0.200000,0.300000
phi3:mini,20,1,0,60,,1,1,1,0.183333,0.283333,0.400000
phi3:mini,20,1,0,60,,1,1,1,0.116667,0.316667,0.316667
phi3:mini,20,1,0,60,,1,1,1,0.166667,0.233333,0.350000
phi3:mini,20,1,0,60,,1,1,1,0.166667,0.100000,0.450000
phi3:mini,20,1,0,60,,1,1,1,0.150000,0.300000,0.333333
phi3:mini,20,1,0,60,,1,1,1,0.166667,0.200000,0.416667
phi3:mini,20,1,0,60,,1,1,1,0.166667,0.166667,0.366667
phi3:mini,20,1,0,60,,1,1,1,0.200000,0.166667,0.450000
phi3:mini,20,1,0,60,,1,1,1,0.108108,0.297297,0.324324
