run_dir,model,history_steps,local_grid,structured_output,max_steps,maze,chars_mean,chars_max,words_mean,words_max
run_20260220_004639_3,phi3:mini,10,1,0,60,,1623.8833333333334,1744,323.43333333333334,350
run_20260220_004639_4,phi3:mini,10,1,0,60,,1623.8833333333334,1744,324.3,350
run_20260220_004639_5,phi3:mini,10,1,0,60,,1623.8833333333334,1744,323.71666666666664,350
run_20260220_004639_6,phi3:mini,10,1,0,60,,1623.8833333333334,1744,324.26666666666665,350
run_20260220_004639_7,phi3:mini,10,1,0,60,,1623.8833333333334,1744,324.03333333333336,350
run_20260220_004639_8,phi3:mini,10,1,0,60,,1623.8833333333334,1744,324.21666666666664,350
run_20260220_004639_9,phi3:mini,10,1,0,60,,1623.8833333333334,1744,324.43333333333334,350
run_20260220_012551_1,phi3:mini,20,1,0,60,,2579.4666666666667,3034,524.0166666666667,620
run_20260220_012551_10,phi3:mini,20,1,0,60,,2579.4666666666667,3034,524.2,620
run_20260220_012551_2,phi3:mini,20,1,0,60,,2579.4666666666667,3034,524.85,620
run_20260220_012551_3,phi3:mini,20,1,0,60,,2579.4666666666667,3034,523.8833333333333,619
run_20260220_012551_4,phi3:mini,20,1,0,60,,2579.4666666666667,3034,524.5,620
run_20260220_012551_5,phi3:mini,20,1,0,60,,2579.4666666666667,3034,524.2,620
run_20260220_012551_6,phi3:mini,20,1,0,60,,2579.4666666666667,3034,524.2833333333333,620
run_20260220_012551_7,phi3:mini,20,1,0,60,,2579.4666666666667,3034,524.3,620
run_20260220_012551_8,phi3:mini,20,1,0,60,,2296.9189189189187,3034,465.0810810810811,619
run_20260220_012551_9,phi3:mini,20,1,0,60,,2579.4666666666667,3034,524.1,619
run_20260220_021047_1,phi3:mini,0,1,0,80,,5542.625,10638,1146.0,2213
run_20260220_021047_10,phi3:mini,0,1,0,80,,5542.625,10638,1146.25,2213
run_20260220_021047_2,phi3:mini,0,1,0,80,,5542.625,10638,1146.1125,2213
run_20260220_021047_3,phi3:mini,0,1,0,80,,5542.625,10638,1146.3375,2213
run_20260220_021047_4,phi3:mini,0,1,0,80,,5542.625,10638,1146.25,2213
run_20260220_021047_5,phi3:mini,0,1,0,80,,5542.625,10638,1146.375,2212
run_20260220_021047_6,phi3:mini,0,1,0,80,,5542.625,10638,1145.925,2211
run_20260220_021047_7,phi3:mini,0,1,0,80,,5542.625,10638,1145.6625,2211
run_20260220_021047_8,phi3:mini,0,1,0,80,,5542.625,10638,1146.0875,2213
run_20260220_021047_9,phi3:mini,0,1,0,80,,5542.625,10638,1145.675,2213
run_20260220_035059_1,phi3:mini,5,1,0,80,,1073.85,1099,209.625,215
run_20260220_035059_10,phi3:mini,5,1,0,80,,1073.85,1099,209.5375,215
run_20260220_035059_2,phi3:mini,5,1,0,80,,1073.85,1099,209.4375,215
run_20260220_035059_3,phi3:mini,5,1,0,80,,1071.0555555555557,1099,208.88888888888889,215
run_20260220_035059_4,phi3:mini,5,1,0,80,,1073.85,1099,209.5625,215
run_20260220_035059_5,phi3:mini,5,1,0,80,,1073.85,1099,209.7,215
run_20260220_035059_6,phi3:mini,5,1,0,80,,1073.85,1099,209.7125,215
run_20260220_035059_7,phi3:mini,5,1,0,80,,1073.85,1099,209.575,215
run_20260220_035059_8,phi3:mini,5,1,0,80,,1073.85,1099,209.75,215
run_20260220_035059_9,phi3:mini,5,1,0,80,,1073.85,1099,209.5375,215
run_20260220_042348_1,phi3:mini,10,1,0,80,,1653.9125,1744,331.3375,350
run_20260220_042348_10,phi3:mini,10,1,0,80,,1653.9125,1744,331.1125,350
run_20260220_042348_2,phi3:mini,10,1,0,80,,1653.9125,1744,330.7125,350
run_20260220_042348_3,phi3:mini,10,1,0,80,,1653.9125,1744,331.325,350
run_20260220_042348_4,phi3:mini,10,1,0,80,,1653.9125,1744,331.2625,350
run_20260220_042348_5,phi3:mini,10,1,0,80,,1653.9125,1744,330.9125,350
run_20260220_042348_6,phi3:mini,10,1,0,80,,1653.9125,1744,331.0875,350
run_20260220_042348_7,phi3:mini,10,1,0,80,,1653.9125,1744,331.2625,350
run_20260220_042348_8,phi3:mini,10,1,0,80,,1653.9125,1744,330.7625,350
run_20260220_042348_9,phi3:mini,10,1,0,80,,1653.9125,1744,331.1625,350
run_20260220_050934_1,phi3:mini,20,1,0,80,,2693.1,3034,548.3875,620
run_20260220_050934_10,phi3:mini,20,1,0,80,,2693.1,3034,548.8375,620
run_20260220_050934_2,phi3:mini,20,1,0,80,,2693.1,3034,548.175,620
run_20260220_050934_3,phi3:mini,20,1,0,80,,2693.1,3034,548.825,620
run_20260220_050934_4,phi3:mini,20,1,0,80,,2693.1,3034,548.425,620
run_20260220_050934_5,phi3:mini,20,1,0,80,,2693.1,3034,549.025,620
run_20260220_050934_6,phi3:mini,20,1,0,80,,2693.1,3034,548.0875,620
run_20260220_050934_7,phi3:mini,20,1,0,80,,2693.1,3034,548.975,620
run_20260220_050934_8,phi3:mini,20,1,0,80,,2693.1,3034,548.875,620
run_20260220_050934_9,phi3:mini,20,1,0,80,,2693.1,3034,548.45,620
run_20260220_061922_1,phi3:mini,10,1,0,80,,1653.9125,1744,330.925,350
