run_id,model,history_steps,local_grid,structured_output,max_steps,reached_goal,final_distance,min_distance,invalid_move_rate,loop_rate,fallback_rate
run_20260219_210949_4,llama3.2:3b,20,True,False,60,False,6,5,0.2,0.15,0.6833333333333333
run_20260219_210949_5,llama3.2:3b,20,True,False,60,False,6,2,0.13333333333333333,0.18333333333333332,0.6666666666666666
run_20260219_210949_6,llama3.2:3b,20,True,False,60,False,4,3,0.06666666666666667,0.15,0.7833333333333333
run_20260219_210949_7,llama3.2:3b,20,True,False,60,False,8,4,0.1,0.16666666666666666,0.7333333333333333
run_20260219_210949_8,llama3.2:3b,20,True,False,60,False,10,4,0.13333333333333333,0.13333333333333333,0.65
run_20260219_210949_9,llama3.2:3b,20,True,False,60,False,7,5,0.11666666666666667,0.13333333333333333,0.75
run_20260219_212944_1,llama3.2:3b,0,True,False,80,False,7,7,0.1125,0.1875,0.7375
run_20260219_212944_10,llama3.2:3b,0,True,False,80,False,11,7,0.1375,0.1125,0.8
run_20260219_212944_2,llama3.2:3b,0,True,False,80,False,6,4,0.1,0.15,0.7375
run_20260219_212944_3,llama3.2:3b,0,True,False,80,False,15,7,0.1625,0.1,0.5625
run_20260219_212944_4,llama3.2:3b,0,True,False,80,False,16,10,0.1,0.1,0.7125
run_20260219_212944_5,llama3.2:3b,0,True,False,80,False,12,9,0.15,0.1,0.6875
run_20260219_212944_6,llama3.2:3b,0,True,False,80,False,12,8,0.15,0.125,0.7
run_20260219_212944_7,llama3.2:3b,0,True,False,80,False,16,10,0.125,0.15,0.7
run_20260219_212944_8,llama3.2:3b,0,True,False,80,False,14,12,0.225,0.0625,0.625
run_20260219_212944_9,llama3.2:3b,0,True,False,80,False,15,12,0.2375,0.0875,0.6625
run_20260219_220338_1,llama3.2:3b,5,True,False,80,False,5,4,0.1125,0.175,0.7375
run_20260219_220338_10,llama3.2:3b,5,True,False,80,True,0,0,0.17647058823529413,0.11764705882352941,0.6470588235294118
run_20260219_220338_2,llama3.2:3b,5,True,False,80,False,7,5,0.1625,0.1125,0.675
run_20260219_220338_3,llama3.2:3b,5,True,False,80,True,0,0,0.16363636363636364,0.16363636363636364,0.6727272727272727
run_20260219_220338_4,llama3.2:3b,5,True,False,80,False,8,3,0.175,0.1625,0.7125
run_20260219_220338_5,llama3.2:3b,5,True,False,80,False,14,12,0.175,0.05,0.6875
run_20260219_220338_6,llama3.2:3b,5,True,False,80,False,13,10,0.1375,0.1,0.6875
run_20260219_220338_7,llama3.2:3b,5,True,False,80,False,14,10,0.175,0.1125,0.75
run_20260219_220338_8,llama3.2:3b,5,True,False,80,False,7,6,0.0875,0.1125,0.7
run_20260219_220338_9,llama3.2:3b,5,True,False,80,False,16,11,0.15,0.1375,0.675
run_20260219_222559_1,llama3.2:3b,10,True,False,80,False,16,11,0.15,0.075,0.775
run_20260219_222559_10,llama3.2:3b,10,True,False,80,False,9,7,0.1125,0.1375,0.7625
run_20260219_222559_2,llama3.2:3b,10,True,False,80,False,7,2,0.0875,0.1375,0.7625
run_20260219_222559_3,llama3.2:3b,10,True,False,80,True,0,0,0.14285714285714285,0.16326530612244897,0.7755102040816326
run_20260219_222559_4,llama3.2:3b,10,True,False,80,False,15,10,0.0625,0.15,0.8375
run_20260219_222559_5,llama3.2:3b,10,True,False,80,False,14,12,0.1,0.1,0.7375
run_20260219_222559_6,llama3.2:3b,10,True,False,80,False,15,6,0.0375,0.1625,0.8625
run_20260219_222559_7,llama3.2:3b,10,True,False,80,False,11,10,0.0875,0.1625,0.825
run_20260219_222559_8,llama3.2:3b,10,True,False,80,False,11,7,0.1875,0.125,0.75
run_20260219_222559_9,llama3.2:3b,10,True,False,80,False,11,10,0.0875,0.15,0.825
run_20260219_224639_1,llama3.2:3b,20,True,False,80,False,8,8,0.15,0.1,0.7375
run_20260219_224639_10,llama3.2:3b,20,True,False,80,False,7,7,0.1125,0.125,0.775
run_20260219_224639_2,llama3.2:3b,20,True,False,80,False,8,4,0.075,0.1625,0.7875
run_20260219_224639_3,llama3.2:3b,20,True,False,80,False,6,1,0.125,0.1625,0.775
run_20260219_224639_4,llama3.2:3b,20,True,False,80,False,15,10,0.1625,0.1125,0.7375
run_20260219_224639_5,llama3.2:3b,20,True,False,80,False,12,8,0.125,0.1375,0.725
run_20260219_224639_6,llama3.2:3b,20,True,False,80,True,0,0,0.1282051282051282,0.10256410256410256,0.7692307692307693
run_20260219_224639_7,llama3.2:3b,20,True,False,80,False,6,5,0.125,0.1125,0.775
run_20260219_224639_8,llama3.2:3b,20,True,False,80,False,2,1,0.1,0.175,0.8
run_20260219_224639_9,llama3.2:3b,20,True,False,80,False,14,11,0.15,0.175,0.725
run_20260219_231138_1,llama3.2:3b,10,True,False,80,False,9,8,0.0625,0.1125,0.7375
run_20260219_231138_10,llama3.2:3b,10,True,False,80,False,15,11,0.2125,0.0875,0.7375
run_20260219_231138_2,llama3.2:3b,10,True,False,80,False,16,12,0.075,0.0875,0.75
